컬럼명(AS-IS),컬럼명(TO-BE)
COL_LOG_CNT_KY,COLLECT_LOG_CNT_KY
COL_LOG_CNT_TJ,COLLECT_LOG_CNT_TJ
COL_UPSO_CNT_KY,COLLECT_UPSO_CNT_KY
COL_UPSO_CNT_TJ,COLLECT_UPSO_CNT_TJ
BRAN_PHON_NUM,BRAN_TEL
CALL_TOTCNT,CALL_TOT_CNT
CHK_RESINUM,RESINO_INS_YN
CLIENT_NUM,CUST_NO
COL_CHECK,COLLECT_CHK
MNGEMSTR_HPNUM,REPPERS_MP
MNGEMSTR_NM,REPPERS
MONPRNCFEE2,MON_BASIC_FAMT_AMT
SIGUGUN,SGG
SMS_TOTCNT,SMS_TOT_CNT
UPSO_PHON,UPSO_TEL
VISIT_TOTCNT,VISIT_TOT_CNT
VISIT_YN5,VISIT_YN_5
VISIT_YN6,VISIT_YN_6
CHG_NUM,CHG_NO
GRAD_NUM,GRAD_NO
MCHNDAESU,MCHN_CNT
NOTE_NUM,NOTE_NO
OCR_GBN,GIRO_GBN
OCR_NO,GIRO_NO
USE_NUM,USE_CNT
BRAN_CONFIRM_DATE,BRAN_CNFM_DT
BRAN_CONFIRM_ID,BRAN_CNFM_ID
CONF_DATE,CNFM_DT
DSCT_END,DSCT_END_YRMN
DSCT_START,DSCT_START_YRMN
MNG_CONFIRM_DATE,MNG_CNFM_DT
MNG_CONFIRM_ID,MNG_CNFM_ID
PROC_STS,PROC_STAT
REMAK_CHG_D,REMAK_CHG_DTL
ROOM_NUM,ROOM_CNT
SERIAL_NO,SN
SERIAL_NO_SEQ,SN_SEQ
ISS_AMT_HANNM,ISS_AMT_KO_NM
ISS_NUM,ISS_NO
REQUEST_GBN,REQ_GBN
NESS_AMT,NEED_AMT
CARD_NUM,CARD_NO
INS_NUM,INS_NO
INSTP_MONTH_FREQ,INST_MONCNT
ERR_NUM,ERR_NO
COMIS_AMT,COMIS
CONFIRM_ID1,PRIM_CNFMPERS_ID
CONFIRM_ID2,SCND_CNFMPERS_ID
CONFIRM1_DATE,PRIM_CNFM_DAY
CONFIRM2_DATE,SCND_CNFM_DAY
REAL_AMT,REAL_RETURN_AMT
REPT_ACCN_NUM,DPST_ACCN_NO
REPT_BANK_CD,DPST_BANK_CD
REPT_CNT,DPST_CNT
REPTPRES,DPSTPERS
RETURN_ACCN_NUM,RETURN_ACCN_NO
INP_SEQ,INS_SEQ
OUT_AMT,WDRW_AMT
RECEPT_BANK,DPST_BANK_NM
COL_AMT,LEVY_AMT
COL_UPSO_CNT,LEVY_UPSO_CNT
MON_AMT,MON_FAMT_AMT
BSCON_BSTYP_NM,BSCON_BSTYP
UPSO_BRA,UPSO_BRAN_NM
AFT_CNG,AFTER_CHG
BEFO_CNG,BEFORE_CHG
CNG_COL,CHG_COL
BIOWN_NUM,BIZNO
CLSED_DAY,CLSBS_DAY
REPPRES_NM,REPPERS
SITE_AREA,UPSO_AREA
UPSO_NEW_ADDR1,UPSO_NEW_ADDR
UPSO_NEW_ADDR2,UPSO_NEW_ADDR_DTL
AERO_STUDENT,AERO_STUD
CLSED_YN,CLSBS_YN
COL_MCH_YN,COL_MATCH_YN
CORP_NUM,CORP_NO
EMAIL_ADDR,EMAIL
MAIL_RCPT,POST_RECV_ADDR
MNGEMSTR_ADDR1,REPPERS_ADDR
MNGEMSTR_ADDR2,REPPERS_ADDR_DTL
MNGEMSTR_BD_MNG_NUM,REPPERS_BD_MNG_NO
MNGEMSTR_NEW_ADDR1,REPPERS_NEW_ADDR
MNGEMSTR_NEW_ADDR2,REPPERS_NEW_ADDR_DTL
MNGEMSTR_NEW_ZIP,REPPERS_NEW_ZIP
MNGEMSTR_NEW_ZIP1,REPPERS_NEW_ZIP1
MNGEMSTR_PHONNUM,REPPERS_TEL
MNGEMSTR_REF_INFO,REPPERS_REF_INFO
MNGEMSTR_REMAK,REPPERS_REMAK
MNGEMSTR_RESINUM,REPPERS_RESINO
MNGEMSTR_ZIP,REPPERS_ZIP
PAPER_CANC_YN,GIRO_CANC_YN
PAYPRES_GBN,PAYPERS_GBN
PERMMSTR_ADDR1,PERMMSTR_ADDR
PERMMSTR_ADDR2,PERMMSTR_ADDR_DTL
PERMMSTR_BD_MNG_NUM,PERMMSTR_BD_MNG_NO
PERMMSTR_HPNUM,PERMMSTR_MP
PERMMSTR_NEW_ADDR1,PERMMSTR_NEW_ADDR
PERMMSTR_NEW_ADDR2,PERMMSTR_NEW_ADDR_DTL
PERMMSTR_PHONNUM,PERMMSTR_TEL
PERMMSTR_RESINUM,PERMMSTR_RESINO
SONG_STUDENT,MUSIC_STUD
UPSO_BD_MNG_NUM,UPSO_BD_MNG_NO
ACMCN_DAESU,ACMCN_CNT
MCHN_COMPYNM,MCHN_COMPY_NM
AUTO_ACCNNUM,AUTO_ACCN_NO
AUTO_NUM,AUTO_SEQ
BIOWN_INSNUM,BIZNO
RECEPTION_GBN,RCPT_GBN
TERM_YN,CLSBS_YN
APPLICATION_GBN,APPTN_GBN
BEFORE_APPLICATION_SEQ,BEFORE_APPTN_SEQ
CONFIRM_DATE,CNFM_DT
CONFIRM_ID,CNFMPERS_ID
APP_GBN,APPTN_GBN
PASSWD,PWD
PAYPRES_NM,PAYPERS_NM
PAYPRES_PHON_NUM,PAYPERS_MP
VAILD_YRMM,VALID_YRMN
BEGNG_RELSDAY,START_DAY
CHGATR_PAYPRES_NUM,CHG_AFTER_PAYPERS_NO
CHGBFR_PAYPRES_NUM,CHG_BEFORE_PAYPERS_NO
PAY_ACCN_NUM,PAY_ACCN_NO
PAY_KND,PAY_TYPE
PAY_REQDAY,PAY_REQ_DAY
PAYER_PHONNUM,PAYPERS_TEL
RECPT_BANK_CD,DPST_BANK_CD
RECPT_GBN_CD,RECV_GBN_CD
RECPTNUM,RCPT_NO
SEQ_NUM,SEQ
CLSED_BRAN,CLSBS_BRAN_CD
CLSED_GBN,CLSBS_GBN
CLSED_NUM,CLSBS_NO
SATN_DATE,SATN_DT
SATNPRES_ID,SATNPERS_ID
STTNT_DAY,REPT_DAY
CONS_DATE,CONS_DAY
CONSPRES,CONSPERS
VISIT_POINT_ARRR,VISIT_EADD_MONCNT
VISIT_TIME,VISIT_TM
VISIT_NUM,VISIT_NO
USE_TIME,USE_TM
ON_TIME_YN,ONETM_YN
IPADDRESS,IP
USER_PW,USER_PWD
CONTENT,CTENT
WORK_DAY,DUTY_DAY
IMEI_NUM,IMEI_NO
PUSH_KEY,PUSHKEY
APPRV_DAY,APPRV_DT
APPRV_STAFF,APPRV_STAFF_NO
R_LAT,REAL_LAT
R_LNG,REAL_LNG
BD_MNG_NUM,BD_MNG_NO
BSCON,ACMCN_BSCON
GOSO_YN,ACCU_YN
SIGUNGU,SGG
